id,product_id,ean,slug,title,brand,product,category,abv,abv_numeric,dealcoholized,production_type,verified,dealcoholization_method,method_facet,country,region,style,status,retailers
TDS-0020,TDS-0020,4260660140096,kolonne-null-riesling,"Kolonne Null Riesling","Kolonne Null","Alcohol-Free Riesling",wine,0.0%,0,yes,dealcoholized,yes,"Vacuum distillation at around 30°C",vacuum-distillation,Germany,,"Dealcoholized Riesling",published,"The Zero Proof"
TDS-0082,TDS-0082,,chloe-pinot-grigio,"Chloe Alcohol-Removed Pinot Grigio","Chloe Wine Collection","Alcohol-Removed Pinot Grigio",wine,0.5%,0.5,yes,dealcoholized,yes,,unpublished,"United States",California,"Alcohol-removed Pinot Grigio",published,"Total Wine"
TDS-0106,TDS-0106,0810404021415,dr-lo-alcohol-removed-riesling,"Dr. Lo Alcohol-Removed Riesling","Dr. Lo","Alcohol-Removed Riesling",wine,<0.5%,0.5,yes,dealcoholized,yes,"Vacuum distillation",vacuum-distillation,Germany,Mosel,"Dealcoholized Mosel Riesling",published,
TDS-0014,TDS-0014,,90-cellars-lot-229,"90+ Cellars Lot 229 Sparkling Rosé","90+ Cellars","Alcohol-Removed Sparkling Rosé Lot 229",wine,<0.5%,0.5,yes,dealcoholized,yes,"Traditionally made, then alcohol removed by reverse osmosis",reverse-osmosis,France,,"Dealcoholized sparkling Grenache rosé",published,"Metro Wine & Spirits"
TDS-0066,TDS-0066,4002103283270,erdinger-alkoholfrei,"Erdinger Alkoholfrei","Erdinger Weissbräu",Alkoholfrei,beer,<0.5%,0.5,not-verified,not-verified,no,,unpublished,Germany,Bavaria,"Non-alcoholic Bavarian wheat beer (Weissbier)",published,"Metro Wine & Spirits"
TDS-0034,TDS-0034,,lyres-amalfi-spritz,"Lyre's Amalfi Spritz",Lyre's,"Amalfi Spritz",cocktails,<0.5%,0.5,no,alternative,yes,,not-applicable,Australia,,"Non-alcoholic Mediterranean spritz in a can",published,"Metro Wine & Spirits"
TDS-0110,TDS-0110,,deschutes-black-butte-na,"Deschutes Black Butte Non-Alcoholic","Deschutes Brewery","Black Butte Non-Alcoholic",beer,<0.5%,0.5,yes,dealcoholized,yes,"SBT BrewVo process with Deschutes proprietary brewing — alcohol gently removed while preserving flavor (producer / GlobeNewswire documentation)",other,"United States","Bend, Oregon","Non-alcoholic porter",published,
TDS-0114,TDS-0114,,cypher-organic-white,"Cypher Blanc",Cypher,Blanc,wine,0.0%,0,yes,dealcoholized,yes,,unpublished,France,Gard,"Dealcoholized organic Roussanne / Colombard",published,Dis&Dis
TDS-0112,TDS-0112,,plaisir-anais-white,"Plaisir d'Anaïs Blanc","Plaisir d'Anaïs",Blanc,wine,0.0%,0,yes,dealcoholized,yes,"Vacuum distillation (specialist retailer; not confirmed on a current producer technical sheet)",vacuum-distillation,France,Bordeaux,"Dealcoholized Bordeaux Sauvignon Blanc",published,Dis&Dis
TDS-0113,TDS-0113,,tip-top-white,"Tip Top Blanc","Tip Top",Blanc,wine,0.0%,0,yes,dealcoholized,yes,"Low-temperature cold distillation by Zénothèque (producer); Zénothèque describes vacuum distillation at ~28–32°C with aroma recovery",vacuum-distillation,France,Bordeaux,"Dealcoholized Bordeaux blanc (Sauvignon Blanc / Sémillon)",published,Dis&Dis
TDS-0058,TDS-0058,4262449340697,blanc-de-blanc,"Blanc de Blanc Non-Alcoholic Sparkling Wine (Jörg Geiger)","Jörg Geiger","Blanc de Blanc",wine,<0.5%,0.5,yes,dealcoholized,yes,"Organic Chardonnay and Colombard wine, bottle-fermented and matured on the lees for two years, then vacuum distilled (producer)",vacuum-distillation,Germany,,"Dealcoholized organic sparkling wine, Chardonnay/Colombard, two years on lees",published,Delmosa
TDS-0100,TDS-0100,7350067732226,oddbird-blanc-de-blancs,"Oddbird Blanc de Blancs",Oddbird,"Blanc de Blancs",wine,<0.5%,0.5,yes,dealcoholized,yes,"Vacuum distillation",vacuum-distillation,France,Languedoc-Roussillon,"Dealcoholized sparkling white (oak-aged)",published,
TDS-0116,TDS-0116,,elivo-adegga-baezza,"Adegga Baezza Blanco","Adegga Baezza",Blanco,wine,0.0%,0,yes,dealcoholized,yes,"Cold evaporation with reintroduction of the wine’s own aromas (producer Adegga Baezza range page)",other,Spain,Galicia,"Dealcoholized Chardonnay",published,Dis&Dis
TDS-0036,TDS-0036,0850020883202,hop-wtr-blood-orange,"HOP WTR Blood Orange","HOP WTR","Blood Orange",beer,0.0%,0,no,alternative,yes,,not-applicable,"United States",,"Sparkling hop water (alcohol-free by composition, not dealcoholized)",published,"Giant Food (Instacart)"
TDS-0005,TDS-0005,,halfway-crooks-brevet-ipa,"Halfway Crooks Brevet IPA","Halfway Crooks Beer","Brevet IPA",beer,"Not published",,no,naturally-low-alcohol,yes,,unpublished,"United States","Atlanta, Georgia","Non-alcoholic IPA",published,"Metro Wine & Spirits"
TDS-0008,TDS-0008,,halfway-crooks-brevet-pils,"Halfway Crooks Brevet Pils","Halfway Crooks Beer","Brevet Pils",beer,<0.5%,0.3,no,naturally-low-alcohol,yes,,unpublished,"United States","Atlanta, Georgia","Non-alcoholic German-style pilsner",published,"Metro Wine & Spirits"
TDS-0003,TDS-0003,4049366003207,appalina-chardonnay,"Appalina Chardonnay",Appalina,Chardonnay,wine,<0.5%,0.5,yes,dealcoholized,yes,"Cold vacuum distillation, with aromas extracted before removal and reintegrated afterward",vacuum-distillation,Germany,Rheinhessen,"Dealcoholised Rheinhessen Chardonnay",published,"Total Wine"
TDS-0086,TDS-0086,0089121830024,ariel-chardonnay,"Ariel Non-Alcoholic Chardonnay",Ariel,Chardonnay,wine,<0.5%,0.5,yes,dealcoholized,yes,"Spinning cone column distillation at low temperature (Ariel's documented process, shared with the J. Lohr family of wines)",spinning-cone,"United States",California,"Dealcoholized Chardonnay",published,"Metro Wine & Spirits"
TDS-0006,TDS-0006,4003301080029,be-free-chardonnay,"Be Free Chardonnay","Be Free",Chardonnay,wine,<0.5%,0.5,yes,dealcoholized,yes,,unpublished,Germany,,"De-alcoholised German Chardonnay",draft,"Total Wine"
TDS-0081,TDS-0081,0853706002911,butter-zero-chardonnay,"Butter Zero Chardonnay","Butter Zero",Chardonnay,wine,<0.5%,0.5,yes,dealcoholized,yes,"Alcohol removed from conventionally vinified Chardonnay (producer's March 2026 launch)",unpublished,"United States",California,"Alcohol-removed Chardonnay",published,InternetWines.com
TDS-0021,TDS-0021,0935843208064,clearscape-chardonnay,"Clearscape Non-Alcoholic Chardonnay",Clearscape,Chardonnay,wine,<0.5%,0.5,yes,dealcoholized,yes,,unpublished,Australia,,"Non-alcoholic Australian Chardonnay",published,"Total Wine"
TDS-0032,TDS-0032,8000040720427,crodino-non-alcoholic-spritz,"Crodino Non-Alcoholic Spritz","Crodino (Campari Group)","Crodino Non-Alcoholic Spritz",cocktails,0.0%,0,no,alternative,yes,,not-applicable,Italy,,"Non-alcoholic Italian bitter aperitivo",published,"Metro Wine & Spirits"
TDS-0065,TDS-0065,4004068000053,valckenberg-zero-sparkling,"Valckenberg Cuvée Zero Sparkling",Valckenberg,"Cuvée Sparkling Zero",wine,0.0%,0,yes,dealcoholized,yes,"Alcohol removed from conventionally vinified sparkling cuvée (producer's Zero line)",unpublished,Germany,,"Dealcoholized German sparkling wine",published,"Metro Wine & Spirits"
TDS-0047,TDS-0047,,nonny-czech-pilsner,"Nonny Czech Pilsner","Nonny Beer","Czech Pilsner",beer,<0.5%,0.5,no,naturally-low-alcohol,yes,,unpublished,Canada,,"Non-alcoholic Czech-style craft pilsner",published,"Upside Drinks"
TDS-0088,TDS-0088,,flying-dog-deep-fake,"Flying Dog Deep Fake Non-Alcoholic IPA","Flying Dog Brewery","Deep Fake Non-Alcoholic IPA",beer,<0.5%,0.5,not-verified,not-verified,no,,unpublished,"United States","Frederick, Maryland","Non-alcoholic IPA",published,"Metro Wine & Spirits"
TDS-0045,TDS-0045,,asahi-dry-zero,"Asahi Dry Zero","Asahi Breweries","Dry Zero",beer,0.0%,0,no,alternative,yes,,not-applicable,Japan,,"Non-alcoholic beer-style beverage (formulated, not dealcoholized)",published,"Metro Wine & Spirits"
TDS-0069,TDS-0069,,athletic-esb,"Athletic ESB","Athletic Brewing","ESB (Extra Special Bitter)",beer,<0.5%,0.5,no,naturally-low-alcohol,yes,,unpublished,"United States","Milford, Connecticut","Non-alcoholic English-style bitter",published,"Minus Moonshine"
TDS-0096,TDS-0096,4260196280136,leitz-eins-zwei-zero-riesling,"Leitz Eins-Zwei-Zero Riesling",Leitz,"Eins-Zwei-Zero Riesling",wine,<0.5%,0.1,yes,dealcoholized,yes,"Vacuum distillation",vacuum-distillation,Germany,Rheingau,"Dealcoholized Riesling",published,
TDS-0071,TDS-0071,4260196280075,leitz-sparkling-blanc-de-blancs,"Leitz Eins-Zwei-Zero Sparkling Blanc de Blancs","Weingut Josef Leitz","Eins-Zwei-Zero Sparkling Blanc de Blancs",wine,0.0%,0,yes,dealcoholized,yes,"Spinning cone technology applied to conventionally vinified Rheingau sparkling wine (same process as the published Leitz Riesling)",spinning-cone,Germany,Rheingau,"Dealcoholized sparkling white",published,"Metro Wine & Spirits"
TDS-0016,TDS-0016,4260196280174,leitz-eins-zwei-zero-sparkling-riesling,"Leitz Eins-Zwei-Zero Sparkling Riesling","Weingut Leitz","Eins-Zwei-Zero Sparkling Riesling",wine,<0.1%,0.1,yes,dealcoholized,yes,"Vacuum distillation; under vacuum, alcohol boils at about 29°C",vacuum-distillation,Germany,Rheingau,"Dealcoholized sparkling Riesling",published,"Metro Wine & Spirits, Upside Drinks"
TDS-0068,TDS-0068,4260196280198,leitz-sparkling-rose,"Leitz Eins-Zwei-Zero Sparkling Rosé","Weingut Josef Leitz","Eins-Zwei-Zero Sparkling Rosé",wine,0.0%,0,yes,dealcoholized,yes,"Spinning cone technology applied to conventionally vinified Rheingau rosé (same process as the published Leitz Riesling)",spinning-cone,Germany,Rheingau,"Dealcoholized sparkling rosé",published,"The Zero Proof"
TDS-0052,TDS-0052,,untitled-art-flvr-italian-pils,"Untitled Art FLVR! NA Italian-Style Pils","Untitled Art Brewing","FLVR! NA Italian-Style Pils",beer,<0.5%,0.5,yes,dealcoholized,yes,"Reverse osmosis membrane filtration, applied after full fermentation",reverse-osmosis,"United States","Waunakee, Wisconsin","Non-alcoholic Italian-style pilsner",published,"Metro Wine & Spirits"
TDS-0089,TDS-0089,,untitled-art-flvr-juicy-ipa,"Untitled Art FLVR! NA Juicy IPA","Untitled Art Brewing","FLVR! NA Juicy IPA",beer,<0.5%,0.5,yes,dealcoholized,yes,"Reverse osmosis membrane filtration, applied after full fermentation",reverse-osmosis,"United States","Waunakee, Wisconsin","Non-alcoholic juicy IPA",published,"Metro Wine & Spirits"
TDS-0044,TDS-0044,,untitled-art-flvr-mango-dragonfruit,"Untitled Art FLVR! NA Mango Dragonfruit Sour","Untitled Art Brewing","FLVR! NA Mango Dragonfruit Sour",beer,<0.5%,0.5,yes,dealcoholized,yes,"Reverse osmosis membrane filtration, applied after full fermentation",reverse-osmosis,"United States","Waunakee, Wisconsin","Non-alcoholic fruited sour ale",published,"Metro Wine & Spirits"
TDS-0073,TDS-0073,,fio-fabelhaft-riesling,"Fio 'Fabelhaft' Non-Alcoholic Riesling",Fio,"Fabelhaft Alcohol Free Riesling",wine,<0.5%,0.5,yes,dealcoholized,yes,"Alcohol removed from conventionally vinified Mosel Riesling; stainless steel fermentation before dealcoholization (importer)",unpublished,Germany,Mosel,"Dealcoholized Mosel Riesling",published,"Metro Wine & Spirits"
TDS-0019,TDS-0019,,band-of-vintners-freestyle,"Band of Vintners Freestyle","Band of Vintners","Freestyle NA California",wine,<0.5%,0.5,yes,dealcoholized,yes,,unpublished,"United States","Sonoma County and Lodi","Non-alcoholic California wine",published,"The Zero Proof"
TDS-0029,TDS-0029,4260044674674,grad-36,"Grad 36°","Jörg Geiger","Grad 36°",wine,<0.5%,0.5,no,hybrid,yes,"75% dealcoholized red wine blended with damson plum, currant, and blackberry juice plus herb and wildflower extracts",unpublished,Germany,Schlat,"Dealcoholized red wine blended with orchard juice",published,Delmosa
TDS-0090,TDS-0090,,pure-project-grounded,"Pure Project Grounded Non-Alcoholic IPA","Pure Project","Grounded Non-Alcoholic IPA",beer,<0.5%,0.5,not-verified,not-verified,no,,unpublished,"United States","San Diego, California","Non-alcoholic IPA",published,"Metro Wine & Spirits"
TDS-0097,TDS-0097,0794712956594,guinness-0-0,"Guinness 0.0",Guinness,"Guinness 0.0",beer,0.0%,0,yes,dealcoholized,yes,"Cold filtration after a conventional Guinness brew",membrane-filtration,Ireland,Dublin,"Dealcoholized dry stout",published,
TDS-0015,TDS-0015,,lagunitas-hazy-ipna,"Lagunitas Hazy IPNA",Lagunitas,"Hazy IPNA",beer,<0.5%,0.5,no,naturally-low-alcohol,yes,,unpublished,"United States",,"Non-alcoholic hazy IPA",published,"Total Wine"
TDS-0075,TDS-0075,4004068000114,valckenberg-not-a-sin,"P.J. Valckenberg It's not a SIN Ginger / Bitter Orange Peel","P.J. Valckenberg","It's not a SIN Ginger / Bitter Orange Peel",wine,<0.5%,0.5,no,hybrid,yes,"Gentle vacuum rectification at 30°C (producer)",unpublished,Germany,,"Dealcoholized German Riesling with ginger and bitter-orange peel (flavored, lightly sparkling)",published,InternetWines.com
TDS-0099,TDS-0099,,lyres-italian-orange,"Lyre's Italian Orange",Lyre's,"Italian Orange",cocktails,<0.5%,0.3,no,alternative,yes,,not-applicable,,,"Formulated bitter orange aperitif",published,
TDS-0094,TDS-0094,,spiritless-jalisco-55,"Spiritless Jalisco 55 Non-Alcoholic Tequila",Spiritless,"Jalisco 55 Non-Alcoholic Reposado Tequila",spirits,0.0%,0,yes,dealcoholized,yes,"Alcohol removed by the same Spiritless reverse-distillation process as Kentucky 74 — ethanol taken off an oak-extracted high-proof spirit",other,"United States",,"Dealcoholized non-alcoholic reposado tequila",published,InternetWines.com
TDS-0051,TDS-0051,,christian-drouin-poire,"Christian Drouin Jus de Poire Pétillant","Christian Drouin","Jus de Poire Pétillant",cider,0.0%,0,no,alternative,yes,,not-applicable,France,"Normandy (Coudray-Rabut)","Non-alcoholic sparkling pear juice",published,"Metro Wine & Spirits"
TDS-0092,TDS-0092,850018886024,spiritless-kentucky-74,"Spiritless Kentucky 74",Spiritless,"Kentucky 74",spirits,<0.5%,0.5,yes,dealcoholized,yes,"Reverse distillation after thermal oak extraction in high-proof neutral grain spirit",other,"United States",Kentucky,"Reverse-distilled oak spirit",published,"Metro Wine & Spirits"
TDS-0035,TDS-0035,,best-day-kolsch,"Best Day Brewing Kölsch","Best Day Brewing",Kölsch,beer,<0.5%,0.5,yes,dealcoholized,yes,,unpublished,"United States",,"Non-alcoholic Kölsch-style craft beer",published,"Best Day Brewing"
TDS-0039,TDS-0039,3770019748008,french-bloom-le-blanc,"French Bloom Le Blanc","French Bloom","Le Blanc",wine,0.0%,0,no,hybrid,yes,"Three-stage vacuum dealcoholization at low temperature, with aroma recovery and reintegration (producer's own site)",vacuum-distillation,France,,"Alcohol-removed organic French sparkling white (classic method)",published,"The Zero Proof"
TDS-0033,TDS-0033,,90-cellars-lot-230,"90+ Cellars Lot 230 Non-Alcoholic Sparkling Brut","90+ Cellars","Lot 230",wine,<0.5%,0.5,yes,dealcoholized,yes,"Reverse osmosis (applied after traditional winemaking)",reverse-osmosis,France,"South West France","Alcohol-removed South West French sparkling brut",published,"Metro Wine & Spirits"
TDS-0063,TDS-0063,,tired-hands-n-alien-church,"Tired Hands N/Alien Church","Tired Hands Brewing Company","N/Alien Church",beer,<0.5%,0.5,no,naturally-low-alcohol,yes,,unpublished,"United States","Ardmore, Pennsylvania","Non-alcoholic New England IPA",published,"Total Wine"
TDS-0105,TDS-0105,,hitachino-nest-non-ale,"Hitachino Nest Non Ale","Hitachino Nest","Non Ale",beer,<0.5%,0.3,no,naturally-low-alcohol,yes,,unpublished,Japan,"Naka, Ibaraki Prefecture","Non-alcoholic Japanese ale",published,
TDS-0093,TDS-0093,0076317661906,deschutes-fresh-squeezed-na,"Deschutes Non-Alcoholic Fresh Squeezed IPA","Deschutes Brewery","Non-Alcoholic Fresh Squeezed IPA",beer,<0.5%,0.5,yes,dealcoholized,yes,"Reverse osmosis (BrewVo process via Sustainable Beverage Technologies), followed by secondary cold fermentation and dry-hopping",reverse-osmosis,"United States","Bend, Oregon","Non-alcoholic IPA",published,"Deschutes Brewery"
TDS-0085,TDS-0085,,penns-best-lager,"Penn's Best Non-Alcoholic Lager","Penn's Best","Non-Alcoholic Lager",beer,<0.5%,0.5,not-verified,not-verified,no,,unpublished,"United States",,"Non-alcoholic American lager",published,"Total Wine"
TDS-0013,TDS-0013,,savyll-moscow-mule,"Savyll Moscow Mule",Savyll,"Non-Alcoholic Moscow Mule",cocktails,"Not published",,no,alternative,yes,,not-applicable,,,"Formulated Moscow Mule",published,"Total Wine"
TDS-0040,TDS-0040,,lapos-negroni,"Lapo's Non-Alcoholic Negroni",Lapo's,"Non-Alcoholic Negroni",cocktails,<0.5%,0.5,no,alternative,yes,,not-applicable,Italy,,"Non-alcoholic formulated Negroni-style canned cocktail from Florence",published,"The Zero Proof"
TDS-0017,TDS-0017,0883122400114,heidemanns-bergweiler-riesling,"Dr. Heidemanns-Bergweiler Riesling","Dr. Heidemanns Bergweiler","Non-Alcoholic Riesling",wine,0.0%,0,yes,dealcoholized,yes,,unpublished,Germany,Mosel,"Dealcoholized Mosel Riesling",published,"Total Wine (Instacart)"
TDS-0070,TDS-0070,,de-nada-rose,"De Nada Non-Alcoholic Rosé","De Nada","Non-Alcoholic Rosé",wine,<0.5%,0.5,yes,dealcoholized,yes,"Alcohol removed from conventionally vinified rosé (producer collaboration with Long Island winemaker Juan Esteban Sepulveda)",unpublished,Chile,"Maule Valley","Dealcoholized Chilean rosé",published,"Minus Moonshine"
TDS-0095,TDS-0095,0021296975001,st-regis-non-alcoholic-rose,"St. Regis Non-Alcoholic Rosé","St. Regis","Non-Alcoholic Rosé",wine,<0.5%,0.5,yes,dealcoholized,yes,"Vacuum distillation",vacuum-distillation,Germany,,"Dealcoholized rosé",published,"Total Wine"
TDS-0026,TDS-0026,0833202003339,biagio-cru-rose-all-day,"Biagio Cru Rosé All Day","Biagio Cru","Non-Alcoholic Rosé All Day",wine,0.0%,0,yes,dealcoholized,yes,,unpublished,France,Languedoc,"Dealcoholized Côtes du Roussillon rosé (Grenache)",published,"Total Wine"
TDS-0067,TDS-0067,850061516114,missing-thorn-still-white,"Missing Thorn Non-Alcoholic Still White","Missing Thorn","Non-Alcoholic Still White",wine,<0.5%,0.5,yes,dealcoholized,yes,"Alcohol removed from conventionally vinified wine (producer's range description)",unpublished,"United States","Napa Valley","Dealcoholized Albariño-style white wine",published,"The Zero Proof"
TDS-0027,TDS-0027,6002339001882,noughty-dealcoholized-rose,"Noughty Dealcoholized Rosé","Thomson & Scott","Noughty Non-Alcoholic Rosé",wine,<0.5%,0.5,yes,dealcoholized,yes,"Gently spun cone technology under vacuum at low temperature",spinning-cone,"South Africa","Western Cape","Dealcoholized Chenin Blanc / Pinotage rosé",published,"The Zero Proof"
TDS-0098,TDS-0098,4009427083906,noughty-sparkling-chardonnay,"Thomson & Scott Noughty Sparkling Chardonnay","Thomson & Scott","Noughty Sparkling Chardonnay",wine,0.0%,0,yes,dealcoholized,yes,"Vacuum distillation with aroma recovery; some trade sheets also name spinning-cone technology",vacuum-distillation,Spain,"Castilla–La Mancha","Dealcoholized sparkling Chardonnay",published,
TDS-0009,TDS-0009,,dc-brau-pale-ale,"DC Brau Non-Alcoholic Pale Ale","DC Brau Brewing Co.","Pale Ale",beer,<0.5%,0.3,yes,dealcoholized,yes,"Mechanical separator removing alcohol from finished beer, combined with a hybrid low-alcohol Lallemand yeast strain during fermentation",other,"United States","Washington, DC","Non-alcoholic pale ale",published,"Total Wine, Total Wine (Instacart), Metro Wine & Spirits"
TDS-0091,TDS-0091,,baladin-passione-in-rosso,"Baladin Passione in Rosso",Baladin,"Passione in Rosso",cocktails,0.0%,0,no,alternative,yes,,not-applicable,Italy,"Piozzo, Italy","Formulated non-alcoholic Italian aperitivo",published,"Metro Wine & Spirits"
TDS-0055,TDS-0055,,eric-bordelet-perlant,"Eric Bordelet Perlant Jus de Pommes à Sydre","Eric Bordelet","Perlant Jus de Pommes à Sydre",cider,0.0%,0,no,alternative,yes,,not-applicable,France,"Normandy (Pays d'Auge)","Non-alcoholic sparkling apple juice from cider apples",published,"Metro Wine & Spirits"
TDS-0038,TDS-0038,,stagrestis-phony-negroni,"St. Agrestis Phony Negroni","St. Agrestis","Phony Negroni",cocktails,0.0%,0,no,alternative,yes,,not-applicable,"United States",,"Non-alcoholic formulated negroni-style cocktail, 30 botanicals",published,"Metro Wine & Spirits"
TDS-0060,TDS-0060,,ollivier-cottenceau-phenomene,"Ollivier Cottenceau Phénomène","Ollivier Cottenceau",Phénomène,wine,<0.5%,0.5,yes,dealcoholized,yes,"Melon de Bourgogne wine vinified conventionally then dealcoholized (producer range described as vin désalcoolisé)",unpublished,France,"Loire Valley (Clisson and Château-Thébaud)","Dealcoholized Melon de Bourgogne (Muscadet-style)",published,Boisson
TDS-0079,TDS-0079,0853706002898,butter-zero-pinot-noir,"Butter Zero Pinot Noir","Butter Zero","Pinot Noir",wine,<0.5%,0.5,yes,dealcoholized,yes,"Alcohol removed from conventionally vinified Pinot Noir (producer's March 2026 launch)",unpublished,"United States",California,"Alcohol-removed Pinot Noir",published,InternetWines.com
TDS-0012,TDS-0012,0600226900407,almost-zero-ravishing-rose,"Almost Zero Ravishing Rosé","Almost Zero","Ravishing Rosé",wine,0.33%,0.33,yes,dealcoholized,yes,"Spinning cone column, applied after full vinification",spinning-cone,"South Africa",,"Dealcoholised rosé",published,"Total Wine (Instacart), Total Wine"
TDS-0109,TDS-0109,883122700115,site-riesling-dealcoholized,"SITE Riesling Dealcoholized",SITE,"Riesling Dealcoholized",wine,<0.5%,0.5,yes,dealcoholized,yes,"Low-temperature evaporation — likely vacuum distillation (gently heated to a maximum of 27°C so the alcohol evaporates; equipment not named)",vacuum-distillation,Germany,Mosel,"Dealcoholized Mosel Riesling",published,
TDS-0117,TDS-0117,,weinkonig-riesling-nr-420,"Weinkönig Riesling Nr. 420",Weinkönig,"Riesling Nr. 420",wine,0.3%,0.3,yes,dealcoholized,yes,"Vacuum dealcoholization after full vinification at about 28°C, with volatile aroma compounds collected and returned (producer FAQ / product page)",vacuum-distillation,Germany,Rheinhessen,"Dealcoholized dry Riesling",published,Dis&Dis
TDS-0001,TDS-0001,4003301079788,be-free-rose,"Be Free Rosé","Be Free",Rosé,wine,<0.5%,0.5,yes,dealcoholized,yes,,unpublished,Germany,Mosel,"De-alcoholised German rosé",published,"Total Wine, Total Wine (Instacart)"
TDS-0010,TDS-0010,,clearscape-rose,"Clearscape Non-Alcoholic Rosé",Clearscape,Rosé,wine,<0.5%,0.5,yes,dealcoholized,yes,,unpublished,Australia,,"Non-alcoholic Australian rosé",published,"Total Wine (Instacart), Total Wine"
TDS-0041,TDS-0041,4260660140119,kolonne-null-rose,"Kolonne Null Rosé","Kolonne Null",Rosé,wine,0.0%,0,yes,dealcoholized,yes,"Vacuum distillation at approximately 30°C, run from the producer's in-house Berlin laboratory",vacuum-distillation,Germany,"Provence (fruit), dealcoholized in Berlin","Dealcoholized Provence rosé",published,"The Zero Proof"
TDS-0104,TDS-0104,0716819559539,ohla-rose,"Ohla! Rosé",Ohla,Rosé,wine,0.0%,0,yes,dealcoholized,yes,"Fermented as wine, then the alcohol is removed (technique not named in the manufacturer notes)",unpublished,Spain,,"Dealcoholized Spanish rosé",published,
TDS-0111,TDS-0111,,plaisir-anais-rose,"Plaisir d'Anaïs Rosé","Plaisir d'Anaïs",Rosé,wine,0.0%,0,yes,dealcoholized,yes,"Vacuum distillation (specialist retailer; not confirmed on a current producer technical sheet)",vacuum-distillation,France,Bordeaux,"Dealcoholized Bordeaux Cabernet Sauvignon rosé",published,Dis&Dis
